"class_id";"day_week";"time_day";"Building";"num_students";"Friends"
117711;"M";7.0;"AB Law Bldg";0;0
117712;"M";7.1;"AB Law Bldg";0;0
117713;"M";7.2;"AB Law Bldg";0;0
117714;"M";7.3;"AB Law Bldg";0;0
117715;"M";7.4;"AB Law Bldg";0;0
117716;"M";7.5;"AB Law Bldg";0;0
117717;"M";8.0;"AB Law Bldg";0;0
117718;"M";8.1;"AB Law Bldg";0;0
117719;"M";8.2;"AB Law Bldg";0;0
117720;"M";8.3;"AB Law Bldg";0;0
117721;"M";8.4;"AB Law Bldg";0;0
117722;"M";8.5;"AB Law Bldg";0;0
117723;"M";9.0;"AB Law Bldg";0;0
117724;"M";9.1;"AB Law Bldg";0;0
117725;"M";9.2;"AB Law Bldg";0;0
117726;"M";9.3;"AB Law Bldg";0;0
117727;"M";9.4;"AB Law Bldg";0;0
117728;"M";9.5;"AB Law Bldg";0;0
117729;"M";10.0;"AB Law Bldg";0;0
117730;"M";10.1;"AB Law Bldg";0;0
117731;"M";10.2;"AB Law Bldg";0;0
117732;"M";10.3;"AB Law Bldg";0;0
117733;"M";10.4;"AB Law Bldg";0;0
117734;"M";10.5;"AB Law Bldg";0;0
117735;"M";11.0;"AB Law Bldg";0;0
117736;"M";11.1;"AB Law Bldg";0;0
117737;"M";11.2;"AB Law Bldg";0;0
117738;"M";11.3;"AB Law Bldg";0;0
117739;"M";11.4;"AB Law Bldg";0;0
117740;"M";11.5;"AB Law Bldg";0;0
117741;"M";12.0;"AB Law Bldg";0;0
117742;"M";12.1;"AB Law Bldg";0;0
117743;"M";12.2;"AB Law Bldg";0;0
117744;"M";12.3;"AB Law Bldg";0;0
117745;"M";12.4;"AB Law Bldg";0;0
117746;"M";12.5;"AB Law Bldg";0;0
117747;"M";13.0;"AB Law Bldg";0;0
117748;"M";13.1;"AB Law Bldg";0;0
117749;"M";13.2;"AB Law Bldg";0;0
117750;"M";13.3;"AB Law Bldg";0;0
117751;"M";13.4;"AB Law Bldg";0;0
117752;"M";13.5;"AB Law Bldg";0;0
117753;"M";14.0;"AB Law Bldg";0;0
117754;"M";14.1;"AB Law Bldg";0;0
117755;"M";14.2;"AB Law Bldg";0;0
117756;"M";14.3;"AB Law Bldg";0;0
117757;"M";14.4;"AB Law Bldg";0;0
117758;"M";14.5;"AB Law Bldg";0;0
117759;"M";15.0;"AB Law Bldg";0;0
117760;"M";15.1;"AB Law Bldg";0;0
117761;"M";15.2;"AB Law Bldg";0;0
117762;"M";15.3;"AB Law Bldg";0;0
117763;"M";15.4;"AB Law Bldg";0;0
117764;"M";15.5;"AB Law Bldg";0;0
117765;"M";16.0;"AB Law Bldg";12;0
117766;"M";16.1;"AB Law Bldg";12;0
117767;"M";16.2;"AB Law Bldg";12;0
117768;"M";16.3;"AB Law Bldg";12;0
117769;"M";16.4;"AB Law Bldg";12;0
117770;"M";16.5;"AB Law Bldg";12;0
117771;"M";17.0;"AB Law Bldg";12;0
117772;"M";17.1;"AB Law Bldg";12;0
117773;"M";17.2;"AB Law Bldg";12;0
117774;"M";17.3;"AB Law Bldg";12;0
117775;"M";17.4;"AB Law Bldg";12;0
117776;"M";17.5;"AB Law Bldg";12;0
117777;"M";18.0;"AB Law Bldg";82;0
117778;"M";18.1;"AB Law Bldg";82;0
117779;"M";18.2;"AB Law Bldg";82;0
117780;"M";18.3;"AB Law Bldg";82;0
117781;"M";18.4;"AB Law Bldg";82;0
117782;"M";18.5;"AB Law Bldg";82;0
117783;"M";19.0;"AB Law Bldg";82;0
117784;"M";19.1;"AB Law Bldg";82;0
117785;"M";19.2;"AB Law Bldg";82;0
117786;"M";19.3;"AB Law Bldg";82;0
117787;"M";19.4;"AB Law Bldg";82;0
117788;"M";19.5;"AB Law Bldg";82;0
117789;"M";20.0;"AB Law Bldg";82;0
117790;"T";7.0;"AB Law Bldg";0;0
117791;"T";7.1;"AB Law Bldg";0;0
117792;"T";7.2;"AB Law Bldg";0;0
117793;"T";7.3;"AB Law Bldg";0;0
117794;"T";7.4;"AB Law Bldg";0;0
117795;"T";7.5;"AB Law Bldg";0;0
117796;"T";8.0;"AB Law Bldg";0;0
117797;"T";8.1;"AB Law Bldg";0;0
117798;"T";8.2;"AB Law Bldg";0;0
117799;"T";8.3;"AB Law Bldg";0;0
117800;"T";8.4;"AB Law Bldg";0;0
117801;"T";8.5;"AB Law Bldg";0;0
117802;"T";9.0;"AB Law Bldg";41;0
117803;"T";9.1;"AB Law Bldg";41;0
117804;"T";9.2;"AB Law Bldg";41;0
117805;"T";9.3;"AB Law Bldg";41;0
117806;"T";9.4;"AB Law Bldg";41;0
117807;"T";9.5;"AB Law Bldg";41;0
117808;"T";10.0;"AB Law Bldg";0;0
117809;"T";10.1;"AB Law Bldg";0;0
117810;"T";10.2;"AB Law Bldg";0;0
117811;"T";10.3;"AB Law Bldg";0;0
117812;"T";10.4;"AB Law Bldg";0;0
117813;"T";10.5;"AB Law Bldg";0;0
117814;"T";11.0;"AB Law Bldg";61;0
117815;"T";11.1;"AB Law Bldg";61;0
117816;"T";11.2;"AB Law Bldg";61;0
117817;"T";11.3;"AB Law Bldg";61;0
117818;"T";11.4;"AB Law Bldg";61;0
117819;"T";11.5;"AB Law Bldg";61;0
117820;"T";12.0;"AB Law Bldg";0;0
117821;"T";12.1;"AB Law Bldg";0;0
117822;"T";12.2;"AB Law Bldg";0;0
117823;"T";12.3;"AB Law Bldg";0;0
117824;"T";12.4;"AB Law Bldg";0;0
117825;"T";12.5;"AB Law Bldg";0;0
117826;"T";13.0;"AB Law Bldg";0;0
117827;"T";13.1;"AB Law Bldg";0;0
117828;"T";13.2;"AB Law Bldg";0;0
117829;"T";13.3;"AB Law Bldg";0;0
117830;"T";13.4;"AB Law Bldg";0;0
117831;"T";13.5;"AB Law Bldg";0;0
117832;"T";14.0;"AB Law Bldg";0;0
117833;"T";14.1;"AB Law Bldg";0;0
117834;"T";14.2;"AB Law Bldg";0;0
117835;"T";14.3;"AB Law Bldg";0;0
117836;"T";14.4;"AB Law Bldg";0;0
117837;"T";14.5;"AB Law Bldg";0;0
117838;"T";15.0;"AB Law Bldg";0;0
117839;"T";15.1;"AB Law Bldg";0;0
117840;"T";15.2;"AB Law Bldg";0;0
117841;"T";15.3;"AB Law Bldg";0;0
117842;"T";15.4;"AB Law Bldg";0;0
117843;"T";15.5;"AB Law Bldg";0;0
117844;"T";16.0;"AB Law Bldg";0;0
117845;"T";16.1;"AB Law Bldg";0;0
117846;"T";16.2;"AB Law Bldg";0;0
117847;"T";16.3;"AB Law Bldg";0;0
117848;"T";16.4;"AB Law Bldg";0;0
117849;"T";16.5;"AB Law Bldg";0;0
117850;"T";17.0;"AB Law Bldg";0;0
117851;"T";17.1;"AB Law Bldg";0;0
117852;"T";17.2;"AB Law Bldg";0;0
117853;"T";17.3;"AB Law Bldg";0;0
117854;"T";17.4;"AB Law Bldg";0;0
117855;"T";17.5;"AB Law Bldg";0;0
117856;"T";18.0;"AB Law Bldg";84;0
117857;"T";18.1;"AB Law Bldg";84;0
117858;"T";18.2;"AB Law Bldg";84;0
117859;"T";18.3;"AB Law Bldg";84;0
117860;"T";18.4;"AB Law Bldg";84;0
117861;"T";18.5;"AB Law Bldg";84;0
117862;"T";19.0;"AB Law Bldg";84;0
117863;"T";19.1;"AB Law Bldg";84;0
117864;"T";19.2;"AB Law Bldg";84;0
117865;"T";19.3;"AB Law Bldg";84;0
117866;"T";19.4;"AB Law Bldg";84;0
117867;"T";19.5;"AB Law Bldg";84;0
117868;"T";20.0;"AB Law Bldg";84;0
