"id","building","class_name","proff","num","friends","day","time"
40,"Givens"," Introduction to Design Processes I"," Safaverdi",13,0,"T",14.0
41,"Givens"," Introduction to Design Processes I"," Safaverdi",13,0,"T",14.3
42,"Givens"," Introduction to Design Processes I"," Safaverdi",13,0,"T",15.0
43,"Givens"," Introduction to Design Processes I"," Safaverdi",13,0,"T",15.3
44,"Givens"," Introduction to Design Processes I"," Safaverdi",13,0,"T",16.0
45,"Givens"," Introduction to Design Processes I"," Safaverdi",13,0,"T",16.3
46,"Givens"," Introduction to Design Processes I"," Safaverdi",13,0,"T",17.0
47,"Givens"," Introduction to Design Processes I"," Safaverdi",13,0,"H",14.0
48,"Givens"," Introduction to Design Processes I"," Safaverdi",13,0,"H",14.3
49,"Givens"," Introduction to Design Processes I"," Safaverdi",13,0,"H",15.0
50,"Givens"," Introduction to Design Processes I"," Safaverdi",13,0,"H",15.3
51,"Givens"," Introduction to Design Processes I"," Safaverdi",13,0,"H",16.0
52,"Givens"," Introduction to Design Processes I"," Safaverdi",13,0,"H",16.3
53,"Givens"," Introduction to Design Processes I"," Safaverdi",13,0,"H",17.0
54,"Givens"," Introduction to Design Processes I"," Compadre",12,0,"T",14.0
55,"Givens"," Introduction to Design Processes I"," Compadre",12,0,"T",14.3
56,"Givens"," Introduction to Design Processes I"," Compadre",12,0,"T",15.0
57,"Givens"," Introduction to Design Processes I"," Compadre",12,0,"T",15.3
58,"Givens"," Introduction to Design Processes I"," Compadre",12,0,"T",16.0
59,"Givens"," Introduction to Design Processes I"," Compadre",12,0,"T",16.3
60,"Givens"," Introduction to Design Processes I"," Compadre",12,0,"T",17.0
61,"Givens"," Introduction to Design Processes I"," Compadre",12,0,"H",14.0
62,"Givens"," Introduction to Design Processes I"," Compadre",12,0,"H",14.3
63,"Givens"," Introduction to Design Processes I"," Compadre",12,0,"H",15.0
64,"Givens"," Introduction to Design Processes I"," Compadre",12,0,"H",15.3
65,"Givens"," Introduction to Design Processes I"," Compadre",12,0,"H",16.0
66,"Givens"," Introduction to Design Processes I"," Compadre",12,0,"H",16.3
67,"Givens"," Introduction to Design Processes I"," Compadre",12,0,"H",17.0
68,"Givens"," Introduction to Design Processes I"," Denizen",11,0,"T",14.0
69,"Givens"," Introduction to Design Processes I"," Denizen",11,0,"T",14.3
70,"Givens"," Introduction to Design Processes I"," Denizen",11,0,"T",15.0
71,"Givens"," Introduction to Design Processes I"," Denizen",11,0,"T",15.3
72,"Givens"," Introduction to Design Processes I"," Denizen",11,0,"T",16.0
73,"Givens"," Introduction to Design Processes I"," Denizen",11,0,"T",16.3
