id,building,class_name,proff,num,friends,day,time,classNum
52846,Givens," Introduction to Design Processes I"," Safaverdi",13,0,T,14.0000,116
52847,Givens," Introduction to Design Processes I"," Safaverdi",13,0,T,14.3000,116
52848,Givens," Introduction to Design Processes I"," Safaverdi",13,0,T,15.0000,116
52849,Givens," Introduction to Design Processes I"," Safaverdi",13,0,T,15.3000,116
52850,Givens," Introduction to Design Processes I"," Safaverdi",13,0,T,16.0000,116
52851,Givens," Introduction to Design Processes I"," Safaverdi",13,0,T,16.3000,116
52852,Givens," Introduction to Design Processes I"," Safaverdi",13,0,T,17.0000,116
52853,Givens," Introduction to Design Processes I"," Safaverdi",13,0,H,14.0000,116
52854,Givens," Introduction to Design Processes I"," Safaverdi",13,0,H,14.3000,116
52855,Givens," Introduction to Design Processes I"," Safaverdi",13,0,H,15.0000,116
52856,Givens," Introduction to Design Processes I"," Safaverdi",13,0,H,15.3000,116
52857,Givens," Introduction to Design Processes I"," Safaverdi",13,0,H,16.0000,116
52858,Givens," Introduction to Design Processes I"," Safaverdi",13,0,H,16.3000,116
52859,Givens," Introduction to Design Processes I"," Safaverdi",13,0,H,17.0000,116
52860,Givens," Introduction to Design Processes I"," Compadre",12,0,T,14.0000,116
52861,Givens," Introduction to Design Processes I"," Compadre",12,0,T,14.3000,116
52862,Givens," Introduction to Design Processes I"," Compadre",12,0,T,15.0000,116
52863,Givens," Introduction to Design Processes I"," Compadre",12,0,T,15.3000,116
52864,Givens," Introduction to Design Processes I"," Compadre",12,0,T,16.0000,116
52865,Givens," Introduction to Design Processes I"," Compadre",12,0,T,16.3000,116
52866,Givens," Introduction to Design Processes I"," Compadre",12,0,T,17.0000,116
52867,Givens," Introduction to Design Processes I"," Compadre",12,0,H,14.0000,116
52868,Givens," Introduction to Design Processes I"," Compadre",12,0,H,14.3000,116
52869,Givens," Introduction to Design Processes I"," Compadre",12,0,H,15.0000,116
52870,Givens," Introduction to Design Processes I"," Compadre",12,0,H,15.3000,116
52871,Givens," Introduction to Design Processes I"," Compadre",12,0,H,16.0000,116
52872,Givens," Introduction to Design Processes I"," Compadre",12,0,H,16.3000,116
52873,Givens," Introduction to Design Processes I"," Compadre",12,0,H,17.0000,116
52874,Givens," Introduction to Design Processes I"," Denizen",11,0,T,14.0000,116
52875,Givens," Introduction to Design Processes I"," Denizen",11,0,T,14.3000,116
52876,Givens," Introduction to Design Processes I"," Denizen",11,0,T,15.0000,116
52877,Givens," Introduction to Design Processes I"," Denizen",11,0,T,15.3000,116
52878,Givens," Introduction to Design Processes I"," Denizen",11,0,T,16.0000,116
52879,Givens," Introduction to Design Processes I"," Denizen",11,0,T,16.3000,116
52880,Givens," Introduction to Design Processes I"," Denizen",11,0,T,17.0000,116
52881,Givens," Introduction to Design Processes I"," Denizen",11,0,H,14.0000,116
52882,Givens," Introduction to Design Processes I"," Denizen",11,0,H,14.3000,116
52883,Givens," Introduction to Design Processes I"," Denizen",11,0,H,15.0000,116
52884,Givens," Introduction to Design Processes I"," Denizen",11,0,H,15.3000,116
52885,Givens," Introduction to Design Processes I"," Denizen",11,0,H,16.0000,116
52886,Givens," Introduction to Design Processes I"," Denizen",11,0,H,16.3000,116
52887,Givens," Introduction to Design Processes I"," Denizen",11,0,H,17.0000,116
52888,Givens," Introduction to Design Processes I"," Freixas",11,0,T,14.0000,116
52889,Givens," Introduction to Design Processes I"," Freixas",11,0,T,14.3000,116
52890,Givens," Introduction to Design Processes I"," Freixas",11,0,T,15.0000,116
52891,Givens," Introduction to Design Processes I"," Freixas",11,0,T,15.3000,116
52892,Givens," Introduction to Design Processes I"," Freixas",11,0,T,16.0000,116
52893,Givens," Introduction to Design Processes I"," Freixas",11,0,T,16.3000,116
52894,Givens," Introduction to Design Processes I"," Freixas",11,0,T,17.0000,116
52895,Givens," Introduction to Design Processes I"," Freixas",11,0,H,14.0000,116
52896,Givens," Introduction to Design Processes I"," Freixas",11,0,H,14.3000,116
