,id,building,class_name,proff,num,friends,day,time,classNum
0,52846,Givens, Introduction to Design Processes I, Safaverdi,13,0,T,14.0,116
1,52847,Givens, Introduction to Design Processes I, Safaverdi,13,0,T,14.3,116
2,52848,Givens, Introduction to Design Processes I, Safaverdi,13,0,T,15.0,116
3,52849,Givens, Introduction to Design Processes I, Safaverdi,13,0,T,15.3,116
4,52850,Givens, Introduction to Design Processes I, Safaverdi,13,0,T,16.0,116
5,52851,Givens, Introduction to Design Processes I, Safaverdi,13,0,T,16.3,116
6,52852,Givens, Introduction to Design Processes I, Safaverdi,13,0,T,17.0,116
7,52853,Givens, Introduction to Design Processes I, Safaverdi,13,0,H,14.0,116
8,52854,Givens, Introduction to Design Processes I, Safaverdi,13,0,H,14.3,116
9,52855,Givens, Introduction to Design Processes I, Safaverdi,13,0,H,15.0,116
10,52856,Givens, Introduction to Design Processes I, Safaverdi,13,0,H,15.3,116
11,52857,Givens, Introduction to Design Processes I, Safaverdi,13,0,H,16.0,116
12,52858,Givens, Introduction to Design Processes I, Safaverdi,13,0,H,16.3,116
13,52859,Givens, Introduction to Design Processes I, Safaverdi,13,0,H,17.0,116
14,52860,Givens, Introduction to Design Processes I, Compadre,12,0,T,14.0,116
15,52861,Givens, Introduction to Design Processes I, Compadre,12,0,T,14.3,116
16,52862,Givens, Introduction to Design Processes I, Compadre,12,0,T,15.0,116
17,52863,Givens, Introduction to Design Processes I, Compadre,12,0,T,15.3,116
18,52864,Givens, Introduction to Design Processes I, Compadre,12,0,T,16.0,116
19,52865,Givens, Introduction to Design Processes I, Compadre,12,0,T,16.3,116
20,52866,Givens, Introduction to Design Processes I, Compadre,12,0,T,17.0,116
21,52867,Givens, Introduction to Design Processes I, Compadre,12,0,H,14.0,116
22,52868,Givens, Introduction to Design Processes I, Compadre,12,0,H,14.3,116
23,52869,Givens, Introduction to Design Processes I, Compadre,12,0,H,15.0,116
24,52870,Givens, Introduction to Design Processes I, Compadre,12,0,H,15.3,116
25,52871,Givens, Introduction to Design Processes I, Compadre,12,0,H,16.0,116
26,52872,Givens, Introduction to Design Processes I, Compadre,12,0,H,16.3,116
27,52873,Givens, Introduction to Design Processes I, Compadre,12,0,H,17.0,116
28,52874,Givens, Introduction to Design Processes I, Denizen,11,0,T,14.0,116
