building,name,professor,enrolled,waits,day,time
Givens,Introduction to Design Processes I,Safaverdi,13,0,T,14.0
Givens,Introduction to Design Processes I,Safaverdi,13,0,T,14.3
Givens,Introduction to Design Processes I,Safaverdi,13,0,T,15.0
Givens,Introduction to Design Processes I,Safaverdi,13,0,T,15.3
Givens,Introduction to Design Processes I,Safaverdi,13,0,T,16.0
Givens,Introduction to Design Processes I,Safaverdi,13,0,T,16.3
Givens,Introduction to Design Processes I,Safaverdi,13,0,T,17.0
Givens,Introduction to Design Processes I,Safaverdi,13,0,H,14.0
Givens,Introduction to Design Processes I,Safaverdi,13,0,H,14.3
Givens,Introduction to Design Processes I,Safaverdi,13,0,H,15.0
Givens,Introduction to Design Processes I,Safaverdi,13,0,H,15.3
Givens,Introduction to Design Processes I,Safaverdi,13,0,H,16.0
Givens,Introduction to Design Processes I,Safaverdi,13,0,H,16.3
Givens,Introduction to Design Processes I,Safaverdi,13,0,H,17.0
Givens,Introduction to Design Processes I,Compadre,12,0,T,14.0
Givens,Introduction to Design Processes I,Compadre,12,0,T,14.3
Givens,Introduction to Design Processes I,Compadre,12,0,T,15.0
Givens,Introduction to Design Processes I,Compadre,12,0,T,15.3
Givens,Introduction to Design Processes I,Compadre,12,0,T,16.0
Givens,Introduction to Design Processes I,Compadre,12,0,T,16.3
Givens,Introduction to Design Processes I,Compadre,12,0,T,17.0
Givens,Introduction to Design Processes I,Compadre,12,0,H,14.0
Givens,Introduction to Design Processes I,Compadre,12,0,H,14.3
Givens,Introduction to Design Processes I,Compadre,12,0,H,15.0
Givens,Introduction to Design Processes I,Compadre,12,0,H,15.3
Givens,Introduction to Design Processes I,Compadre,12,0,H,16.0
Givens,Introduction to Design Processes I,Compadre,12,0,H,16.3
Givens,Introduction to Design Processes I,Compadre,12,0,H,17.0
Givens,Introduction to Design Processes I,Denizen,11,0,T,14.0
Givens,Introduction to Design Processes I,Denizen,11,0,T,14.3
Givens,Introduction to Design Processes I,Denizen,11,0,T,15.0
Givens,Introduction to Design Processes I,Denizen,11,0,T,15.3
Givens,Introduction to Design Processes I,Denizen,11,0,T,16.0
Givens,Introduction to Design Processes I,Denizen,11,0,T,16.3
Givens,Introduction to Design Processes I,Denizen,11,0,T,17.0
Givens,Introduction to Design Processes I,Denizen,11,0,H,14.0
Givens,Introduction to Design Processes I,Denizen,11,0,H,14.3
Givens,Introduction to Design Processes I,Denizen,11,0,H,15.0
Givens,Introduction to Design Processes I,Denizen,11,0,H,15.3
Givens,Introduction to Design Processes I,Denizen,11,0,H,16.0
Givens,Introduction to Design Processes I,Denizen,11,0,H,16.3
Givens,Introduction to Design Processes I,Denizen,11,0,H,17.0
Givens,Introduction to Design Processes I,Freixas,11,0,T,14.0
Givens,Introduction to Design Processes I,Freixas,11,0,T,14.3
Givens,Introduction to Design Processes I,Freixas,11,0,T,15.0
Givens,Introduction to Design Processes I,Freixas,11,0,T,15.3
Givens,Introduction to Design Processes I,Freixas,11,0,T,16.0
Givens,Introduction to Design Processes I,Freixas,11,0,T,16.3
Givens,Introduction to Design Processes I,Freixas,11,0,T,17.0
Givens,Introduction to Design Processes I,Freixas,11,0,H,14.0
Givens,Introduction to Design Processes I,Freixas,11,0,H,14.3
Givens,Introduction to Design Processes I,Freixas,11,0,H,15.0
Givens,Introduction to Design Processes I,Freixas,11,0,H,15.3
Givens,Introduction to Design Processes I,Freixas,11,0,H,16.0
Givens,Introduction to Design Processes I,Freixas,11,0,H,16.3
Givens,Introduction to Design Processes I,Freixas,11,0,H,17.0
Givens,Introduction to Design Processes I,Kim,12,0,T,14.0
Givens,Introduction to Design Processes I,Kim,12,0,T,14.3
Givens,Introduction to Design Processes I,Kim,12,0,T,15.0
Givens,Introduction to Design Processes I,Kim,12,0,T,15.3
Givens,Introduction to Design Processes I,Kim,12,0,T,16.0
Givens,Introduction to Design Processes I,Kim,12,0,T,16.3
Givens,Introduction to Design Processes I,Kim,12,0,T,17.0
Givens,Introduction to Design Processes I,Kim,12,0,H,14.0
Givens,Introduction to Design Processes I,Kim,12,0,H,14.3
Givens,Introduction to Design Processes I,Kim,12,0,H,15.0
Givens,Introduction to Design Processes I,Kim,12,0,H,15.3
Givens,Introduction to Design Processes I,Kim,12,0,H,16.0
Givens,Introduction to Design Processes I,Kim,12,0,H,16.3
Givens,Introduction to Design Processes I,Kim,12,0,H,17.0
Givens,Introduction to Design Processes I,Parcic,12,0,T,14.0
Givens,Introduction to Design Processes I,Parcic,12,0,T,14.3
Givens,Introduction to Design Processes I,Parcic,12,0,T,15.0
Givens,Introduction to Design Processes I,Parcic,12,0,T,15.3
Givens,Introduction to Design Processes I,Parcic,12,0,T,16.0
Givens,Introduction to Design Processes I,Parcic,12,0,T,16.3
Givens,Introduction to Design Processes I,Parcic,12,0,T,17.0
Givens,Introduction to Design Processes I,Parcic,12,0,H,14.0
Givens,Introduction to Design Processes I,Parcic,12,0,H,14.3
Givens,Introduction to Design Processes I,Parcic,12,0,H,15.0
Givens,Introduction to Design Processes I,Parcic,12,0,H,15.3
Givens,Introduction to Design Processes I,Parcic,12,0,H,16.0
Givens,Introduction to Design Processes I,Parcic,12,0,H,16.3
Givens,Introduction to Design Processes I,Parcic,12,0,H,17.0
Givens,Representation I,Hatheway,14,0,F,14.0
Givens,Representation I,Hatheway,14,0,F,14.3
Givens,Representation I,Hatheway,14,0,F,15.0
Givens,Representation I,Hatheway,14,0,F,15.3
Givens,Representation I,Hatheway,14,0,F,16.0
Givens,Representation I,Hatheway,14,0,F,16.3
Givens,Representation I,Phillips,12,0,F,14.0
Givens,Representation I,Phillips,12,0,F,14.3
Givens,Representation I,Phillips,12,0,F,15.0
Givens,Representation I,Phillips,12,0,F,15.3
Givens,Representation I,Phillips,12,0,F,16.0
Givens,Representation I,Phillips,12,0,F,16.3
Givens,Representation I,Mitrisin,12,0,F,14.0
Givens,Representation I,Mitrisin,12,0,F,14.3
Givens,Representation I,Mitrisin,12,0,F,15.0
Givens,Representation I,Mitrisin,12,0,F,15.3
Givens,Representation I,Mitrisin,12,0,F,16.0
Givens,Representation I,Mitrisin,12,0,F,16.3
