Days,Time,Building and Room,Seats,Enrolled,Waits,Dept_name,ClassName,Professor,
-T-R---, 2:00P-5:20P, Givens / 116, 15, 13, 0, ARCHITECTURE(A46), Introduction to Design Processes I, Safaverdi, 
-T-R---, 2:00P-5:20P, Givens / 116, 13, 12, 0, ARCHITECTURE(A46), Introduction to Design Processes I, Compadre, 
-T-R---, 2:00P-5:20P, Givens / 116, 13, 11, 0, ARCHITECTURE(A46), Introduction to Design Processes I, Denizen, 
-T-R---, 2:00P-5:20P, Givens / 116, 13, 11, 0, ARCHITECTURE(A46), Introduction to Design Processes I, Freixas, 
-T-R---, 2:00P-5:20P, Givens / 116, 13, 12, 0, ARCHITECTURE(A46), Introduction to Design Processes I, Kim, 
-T-R---, 2:00P-5:20P, Givens / 116, 13, 12, 0, ARCHITECTURE(A46), Introduction to Design Processes I, Parcic, 
----F--, 2:00P-4:50P, Givens / 116, 15, 14, 0, ARCHITECTURE(A46), Representation I, Hatheway, 
----F--, 2:00P-4:50P, Givens / 116, 15, 12, 0, ARCHITECTURE(A46), Representation I, Phillips, 
----F--, 2:00P-4:50P, Givens / 116, 15, 12, 0, ARCHITECTURE(A46), Representation I, Mitrisin, 
----F--, 2:00P-4:50P, Givens / 116, 15, 12, 0, ARCHITECTURE(A46), Representation I, Ulmer, 
----F--, 2:00P-4:50P, Givens / 116, 15, 11, 0, ARCHITECTURE(A46), Representation I, Null, 
----F--, 2:00P-4:50P, Givens / 116, 15, 13, 0, ARCHITECTURE(A46), Representation I, Guo, 
-T-R---, 1:00P-5:20P, Givens / 116, 65, 11, 0, ARCHITECTURE(A46), Architectural Design I, Vale, 
-T-R---, 1:00P-5:20P, Givens / 116, 12, 10, 0, ARCHITECTURE(A46), Architectural Design I, Abendroth, 
-T-R---, 1:00P-5:20P, Givens / 116, 12, 10, 0, ARCHITECTURE(A46), Architectural Design I, Byun, 
-T-R---, 1:00P-5:20P, Givens / 116, 12, 10, 0, ARCHITECTURE(A46), Architectural Design I, Stitelman, 
-T-R---, 1:00P-5:20P, Givens / 116, 12, 10, 0, ARCHITECTURE(A46), Architectural Design I, Stouffer, 
----F--, 8:30A-11:20A, Givens / 118, 20, 16, 0, ARCHITECTURE(A46), Shared Ecologies and Design, Denizen, 
-T-R---, 1:00P-3:50P, Steinberg / 6, 16, 13, 0, ARCHITECTURE(A46), Community Building, Hansman, 
-T-R---, 5:30P-8:20P, Steinberg / 26, 0, 8, 0, ARCHITECTURE(A46), Architecture Through the Photographic Lens, Colten, 
-T-R---, 10:00A-11:20A, Busch / 100, 100, 63, 0, ARCHITECTURE(A46), Architectural History I: Antiquity to Baroque, Allen, 
M-W----, 8:30A-11:20A, Walker Hall / 103, 0, 13, 0, ARCHITECTURE(A46), Furniture Design Emphasis Metal, Stouffer, 
-T-R---, 2:30P-3:50P, January Hall / 110, 0, 19, 0, ARCHITECTURE(A46), Sustainability Exchange: Community and University Practicums, Williams Krummenacher Solberg Knipp VanRiper Bumpers, 
TBA, , TBA, 0, 11, 0, ARCHITECTURE(A46), Architectural Design V (Florence), [TBA], 
M-W----, 11:30A-12:50P, Givens / 116, 50, 47, 0, ARCHITECTURE(A46), Design Culture, Luchini, 
-T-R---, 10:00A-11:20A, Busch / 100, 100, 63, 0, ARCHITECTURE(A46), Architectural History I:  Antiquity to Baroque, Allen, 
-T-R---, 11:30A-12:50P, Givens / 116, 60, 50, 0, ARCHITECTURE(A46), Environmental Systems I, Yin, 
